Entity,Code,Year,Consumer price index (2010 = 100)
Canada,CAN,1960,13.344304
Canada,CAN,1961,13.480252
Canada,CAN,1962,13.623354
Canada,CAN,1963,13.845163
Canada,CAN,1964,14.109902
Canada,CAN,1965,14.439038
Canada,CAN,1966,14.989983
Canada,CAN,1967,15.526617
Canada,CAN,1968,16.156267
Canada,CAN,1969,16.893246
Canada,CAN,1970,17.4585
Canada,CAN,1971,17.930738
Canada,CAN,1972,18.825129
Canada,CAN,1973,20.234688
Canada,CAN,1974,22.45993
Canada,CAN,1975,24.856897
Canada,CAN,1976,26.73154
Canada,CAN,1977,28.863766
Canada,CAN,1978,31.45392
Canada,CAN,1979,34.33028
Canada,CAN,1980,37.80767
Canada,CAN,1981,42.522896
Canada,CAN,1982,47.102177
Canada,CAN,1983,49.86405
Canada,CAN,1984,52.01059
Canada,CAN,1985,54.071266
Canada,CAN,1986,56.33944
Canada,CAN,1987,58.793648
Canada,CAN,1988,61.16199
Canada,CAN,1989,64.210075
Canada,CAN,1990,67.279625
Canada,CAN,1991,71.06468
Canada,CAN,1992,72.12364
Canada,CAN,1993,73.4688
Canada,CAN,1994,73.59044
Canada,CAN,1995,75.17172
Canada,CAN,1996,76.35232
Canada,CAN,1997,77.59016
Canada,CAN,1998,78.36291
Canada,CAN,1999,79.72238
Canada,CAN,2000,81.89038
Canada,CAN,2001,83.95821
Canada,CAN,2002,85.854324
Canada,CAN,2003,88.222664
Canada,CAN,2004,89.86119
Canada,CAN,2005,91.85031
Canada,CAN,2006,93.68918
Canada,CAN,2007,95.69262
Canada,CAN,2008,97.96079
Canada,CAN,2009,98.25415
Canada,CAN,2010,100
Canada,CAN,2011,102.91213
Canada,CAN,2012,104.471954
Canada,CAN,2013,105.4522
Canada,CAN,2014,107.46279
Canada,CAN,2015,108.67201
Canada,CAN,2016,110.22467
Canada,CAN,2017,111.98483
Canada,CAN,2018,114.5249
Canada,CAN,2019,116.7573
Canada,CAN,2020,117.594444
Canada,CAN,2021,121.587006
Canada,CAN,2022,129.85832
Canada,CAN,2023,134.89554
Canada,CAN,2024,138.10818
France,FRA,1960,10.433594
France,FRA,1961,10.684048
France,FRA,1962,11.253644
France,FRA,1963,11.816231
France,FRA,1964,12.195673
France,FRA,1965,12.525334
France,FRA,1966,12.851244
France,FRA,1967,13.210022
France,FRA,1968,13.810181
France,FRA,1969,14.645139
France,FRA,1970,15.421279
France,FRA,1971,16.253645
France,FRA,1972,17.239103
France,FRA,1973,18.511454
France,FRA,1974,21.038141
France,FRA,1975,23.496643
France,FRA,1976,25.75831
France,FRA,1977,28.203947
France,FRA,1978,30.812971
France,FRA,1979,34.093544
France,FRA,1980,38.71751
France,FRA,1981,43.872517
France,FRA,1982,49.127773
France,FRA,1983,53.77504
France,FRA,1984,57.90163
France,FRA,1985,61.27793
France,FRA,1986,62.833485
France,FRA,1987,64.90002
France,FRA,1988,66.65285
France,FRA,1989,68.984566
France,FRA,1990,71.188126
France,FRA,1991,73.47569
France,FRA,1992,75.21248
France,FRA,1993,76.795296
France,FRA,1994,78.06666
France,FRA,1995,79.46911
France,FRA,1996,81.04489
France,FRA,1997,82.02062
France,FRA,1998,82.55468
France,FRA,1999,82.998116
France,FRA,2000,84.38913
France,FRA,2001,85.76871
France,FRA,2002,87.418396
France,FRA,2003,89.252846
France,FRA,2004,91.16472
France,FRA,2005,92.75634
France,FRA,2006,94.31012
France,FRA,2007,95.713455
France,FRA,2008,98.40575
France,FRA,2009,98.49197
France,FRA,2010,100
France,FRA,2011,102.111595
France,FRA,2012,104.107056
France,FRA,2013,105.00625
France,FRA,2014,105.53943
France,FRA,2015,105.57902
France,FRA,2016,105.77258
France,FRA,2017,106.864456
France,FRA,2018,108.842316
France,FRA,2019,110.04857
France,FRA,2020,110.572945
France,FRA,2021,112.38892
France,FRA,2022,118.258286
France,FRA,2023,124.02734
France,FRA,2024,126.506714
Germany,DEU,1960,24.64607
Germany,DEU,1961,25.211376
Germany,DEU,1962,25.928204
Germany,DEU,1963,26.697483
Germany,DEU,1964,27.321066
Germany,DEU,1965,28.206902
Germany,DEU,1966,29.203468
Germany,DEU,1967,29.727978
Germany,DEU,1968,30.165066
Germany,DEU,1969,30.742025
Germany,DEU,1970,31.802702
Germany,DEU,1971,33.469475
Germany,DEU,1972,35.305252
Germany,DEU,1973,37.787926
Germany,DEU,1974,40.42795
Germany,DEU,1975,42.817383
Germany,DEU,1976,44.635677
Germany,DEU,1977,46.302444
Germany,DEU,1978,47.561268
Germany,DEU,1979,49.484467
Germany,DEU,1980,52.176945
Germany,DEU,1981,55.487175
Germany,DEU,1982,58.395283
Germany,DEU,1983,60.31848
Germany,DEU,1984,61.769623
Germany,DEU,1985,63.045925
Germany,DEU,1986,62.964336
Germany,DEU,1987,63.12169
Germany,DEU,1988,63.925934
Germany,DEU,1989,65.70344
Germany,DEU,1990,67.47511
Germany,DEU,1991,70.20585
Germany,DEU,1992,73.75614
Germany,DEU,1993,77.05642
Germany,DEU,1994,79.13159
Germany,DEU,1995,80.481705
Germany,DEU,1996,81.64847
Germany,DEU,1997,83.23193
Germany,DEU,1998,83.99033
Germany,DEU,1999,84.48204
Germany,DEU,2000,85.69881
Germany,DEU,2001,87.39895
Germany,DEU,2002,88.64072
Germany,DEU,2003,89.557465
Germany,DEU,2004,91.049255
Germany,DEU,2005,92.4577
Germany,DEU,2006,93.91615
Germany,DEU,2007,96.07468
Germany,DEU,2008,98.599884
Germany,DEU,2009,98.90824
Germany,DEU,2010,100
Germany,DEU,2011,102.07517
Germany,DEU,2012,104.12534
Germany,DEU,2013,105.69214
Germany,DEU,2014,106.65055
Germany,DEU,2015,107.19919
Germany,DEU,2016,107.72633
Germany,DEU,2017,109.35246
Germany,DEU,2018,111.24663
Germany,DEU,2019,112.85487
Germany,DEU,2020,113.01838
Germany,DEU,2021,116.484276
Germany,DEU,2022,124.489746
Germany,DEU,2023,131.89244
Germany,DEU,2024,134.86859
Italy,ITA,1960,4.1478357
Italy,ITA,1961,4.2328954
Italy,ITA,1962,4.4314666
Italy,ITA,1963,4.76182
Italy,ITA,1964,5.043354
Italy,ITA,1965,5.2712765
Italy,ITA,1966,5.394972
Italy,ITA,1967,5.596384
Italy,ITA,1968,5.6678677
Italy,ITA,1969,5.818477
Italy,ITA,1970,6.107558
Italy,ITA,1971,6.4002113
Italy,ITA,1972,6.768192
Italy,ITA,1973,7.499063
Italy,ITA,1974,8.935866
Italy,ITA,1975,10.450541
Italy,ITA,1976,12.1868105
Italy,ITA,1977,14.274417
Italy,ITA,1978,16.000767
Italy,ITA,1979,18.368652
Italy,ITA,1980,22.237856
Italy,ITA,1981,26.233843
Italy,ITA,1982,30.55729
Italy,ITA,1983,35.032887
Italy,ITA,1984,38.81451
Italy,ITA,1985,42.38777
Italy,ITA,1986,44.856243
Italy,ITA,1987,46.985695
Italy,ITA,1988,49.362347
Italy,ITA,1989,52.452347
Italy,ITA,1990,55.83899
Italy,ITA,1991,59.328926
Italy,ITA,1992,62.455914
Italy,ITA,1993,65.34558
Italy,ITA,1994,67.99328
Italy,ITA,1995,71.55302
Italy,ITA,1996,74.42013
Italy,ITA,1997,75.94061
Italy,ITA,1998,77.425316
Italy,ITA,1999,78.71326
Italy,ITA,2000,80.71075
Italy,ITA,2001,82.95868
Italy,ITA,2002,85.003876
Italy,ITA,2003,87.27565
Italy,ITA,2004,89.2016
Italy,ITA,2005,90.97251
Italy,ITA,2006,92.8746
Italy,ITA,2007,94.57397
Italy,ITA,2008,97.74015
Italy,ITA,2009,98.497406
Italy,ITA,2010,100
Italy,ITA,2011,102.78063
Italy,ITA,2012,105.90656
Italy,ITA,2013,107.198616
Italy,ITA,2014,107.457016
Italy,ITA,2015,107.4987
Italy,ITA,2016,107.39764
Italy,ITA,2017,108.714905
Italy,ITA,2018,109.95152
Italy,ITA,2019,110.6236
Italy,ITA,2020,110.47126
Italy,ITA,2021,112.54125
Italy,ITA,2022,121.77109
Italy,ITA,2023,128.6173
Italy,ITA,2024,129.8808
Japan,JPN,1960,18.972569
Japan,JPN,1961,19.991104
Japan,JPN,1962,21.357584
Japan,JPN,1963,22.790016
Japan,JPN,1964,23.656126
Japan,JPN,1965,25.230675
Japan,JPN,1966,26.502512
Japan,JPN,1967,27.559921
Japan,JPN,1968,29.031466
Japan,JPN,1969,30.555565
Japan,JPN,1970,32.671284
Japan,JPN,1971,34.760727
Japan,JPN,1972,36.44437
Japan,JPN,1973,40.67506
Japan,JPN,1974,50.120724
Japan,JPN,1975,56.00052
Japan,JPN,1976,61.250027
Japan,JPN,1977,66.249146
Japan,JPN,1978,69.03795
Japan,JPN,1979,71.59363
Japan,JPN,1980,77.1626
Japan,JPN,1981,80.95295
Japan,JPN,1982,83.171906
Japan,JPN,1983,84.75194
Japan,JPN,1984,86.6687
Japan,JPN,1985,88.430046
Japan,JPN,1986,88.956726
Japan,JPN,1987,89.06897
Japan,JPN,1988,89.673355
Japan,JPN,1989,91.71099
Japan,JPN,1990,94.53433
Japan,JPN,1991,97.608055
Japan,JPN,1992,99.32623
Japan,JPN,1993,100.560905
Japan,JPN,1994,101.26026
Japan,JPN,1995,101.13075
Japan,JPN,1996,101.2689
Japan,JPN,1997,103.03888
Japan,JPN,1998,103.72097
Japan,JPN,1999,103.366974
Japan,JPN,2000,102.66762
Japan,JPN,2001,101.907814
Japan,JPN,2002,100.966705
Japan,JPN,2003,100.70768
Japan,JPN,2004,100.69905
Japan,JPN,2005,100.41412
Japan,JPN,2006,100.66451
Japan,JPN,2007,100.72495
Japan,JPN,2008,102.115036
Japan,JPN,2009,100.73359
Japan,JPN,2010,100
Japan,JPN,2011,99.72755
Japan,JPN,2012,99.6836
Japan,JPN,2013,100.01758
Japan,JPN,2014,102.77729
Japan,JPN,2015,103.59466
Japan,JPN,2016,103.46282
Japan,JPN,2017,103.96379
Japan,JPN,2018,104.99209
Japan,JPN,2019,105.48427
Japan,JPN,2020,105.4579
Japan,JPN,2021,105.211815
Japan,JPN,2022,107.83969
Japan,JPN,2023,111.36404
Japan,JPN,2024,114.41378
United Kingdom,GBR,1960,6.273284
United Kingdom,GBR,1961,6.489555
United Kingdom,GBR,1962,6.761889
United Kingdom,GBR,1963,6.8983808
United Kingdom,GBR,1964,7.1247573
United Kingdom,GBR,1965,7.464877
United Kingdom,GBR,1966,7.7567253
United Kingdom,GBR,1967,7.949256
United Kingdom,GBR,1968,8.322666
United Kingdom,GBR,1969,8.775974
United Kingdom,GBR,1970,9.3347025
United Kingdom,GBR,1971,10.216351
United Kingdom,GBR,1972,10.938758
United Kingdom,GBR,1973,11.94469
United Kingdom,GBR,1974,13.861097
